,property_url,style,street,city,zip_code,beds,Total Baths,sqft,year_built,days_on_mls,list_price,sold_price,last_sold_date,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,stories,hoa_fee,parking_garage,agent_name,nearby_schools
1341,https://www.realtor.com/realestateandhomes-detail/1425-Chautauqua-Blvd_Pacific-Palisades_CA_90272_M10994-61003,SINGLE_FAMILY,1425 Chautauqua Blvd,Pacific Palisades,90272,3.0,3.5,3282.0,1941.0,356.0,6950000.0,6600000,2024-08-29,6955152.0,False,26462.0,2011.0,34.055441,-118.522233,"The Alphabet Streets, Westside LA, Pacific Palisades",2.0,0.0,2.0,Cindy Ambuehl,"New West Charter District, Los Angeles Unified School District"
1342,https://www.realtor.com/realestateandhomes-detail/13010-Greenleaf-St_Studio-City_CA_91604_M14651-61846,SINGLE_FAMILY,13010 Greenleaf St,Studio City,91604,5.0,4.5,3652.0,1948.0,97.0,3399000.0,3150000,2024-08-29,3499000.0,False,8039.0,863.0,34.143219,-118.416316,"South Valley, Studio City",2.0,0.0,2.0,Michelle Schwartz,Los Angeles Unified School District
1343,https://www.realtor.com/realestateandhomes-detail/10321-Lorne-St_Sun-Valley_CA_91352_M16780-24910,SINGLE_FAMILY,10321 Lorne St,Sun Valley,91352,2.0,1.0,672.0,1928.0,199.0,730000.0,730000,2024-08-29,723000.0,False,10367.0,1086.0,34.216549,-118.355935,"Sun Valley, North Valley",1.0,0.0,1.0,David Friedman,"Alliance Marine - Innovation and Techn 6-12 Complex District, Fenton Charter Leadership Academy District, Los Angeles Unified School District"
1344,https://www.realtor.com/realestateandhomes-detail/1623-W-80th-St_Los-Angeles_CA_90047_M15068-61733,MULTI_FAMILY,1623 W 80th St,Los Angeles,90047,3.0,2.0,5427.0,1965.0,65.0,1350000.0,1150000,2024-08-29,1177965.0,False,6751.0,212.0,33.966654,-118.305483,"Manchester Square, South LA",2.0,0.0,0.0,Eena Douglass,"Community Preparatory Academy District, Los Angeles Unified School District"
1345,https://www.realtor.com/realestateandhomes-detail/7655-Kittyhawk-Ave_Los-Angeles_CA_90045_M92206-44395,SINGLE_FAMILY,7655 Kittyhawk Ave,Los Angeles,90045,3.0,2.0,1596.0,1947.0,45.0,1225000.0,1210000,2024-08-29,1237577.0,False,6960.0,758.0,33.96898,-118.380638,"Silicon Beach, Westchester",2.0,0.0,2.0,Gabriela Bermudez,"Los Angeles Unified School District, WISH Academy High District, WISH Community District, ICEF Inglewood Middle Charter Academy District"
1346,https://www.realtor.com/realestateandhomes-detail/10525-Louisiana-Ave_Los-Angeles_CA_90025_M21537-37261,SINGLE_FAMILY,10525 Louisiana Ave,Los Angeles,90025,3.0,3.0,2076.0,1929.0,34.0,1795000.0,1760000,2024-08-29,1930000.0,False,6562.0,848.0,34.049354,-118.423414,"Westside LA, Westside, Tehrangeles",2.0,0.0,0.0,Cherilyn Postlethwait,"New West Charter District, Los Angeles Unified School District"
1347,https://www.realtor.com/realestateandhomes-detail/1624-Stonewood-Ct_San-Pedro_CA_90732_M25716-48209,TOWNHOMES,1624 Stonewood Ct,San Pedro,90732,2.0,1.5,1307.0,1976.0,47.0,739000.0,745000,2024-08-29,736592.0,False,167070.0,570.0,33.761527,-118.308652,"Harbor, Northwest San Pedro",2.0,505.0,2.0,Karen Anderson & The Prestige Team,Los Angeles Unified School District
1348,https://www.realtor.com/realestateandhomes-detail/5526-S-Wilton-Pl_Los-Angeles_CA_90062_M18944-55354,SINGLE_FAMILY,5526 S Wilton Pl,Los Angeles,90062,3.0,1.0,1320.0,1922.0,48.0,615000.0,620000,2024-08-29,694000.0,False,5470.0,470.0,33.991475,-118.31462,"Chesterfield Square, South LA",1.0,0.0,0.0,Ashley Thomas,"Los Angeles Unified School District, LA's Promise Charter High #1 District"
1349,https://www.realtor.com/realestateandhomes-detail/7320-Lennox-Ave-Unit-F1_Van-Nuys_CA_91405_M27361-50932,CONDOS,7320 Lennox Ave,Van Nuys,91405,2.0,3.0,1161.0,1971.0,56.0,450000.0,445000,2024-08-29,453456.0,False,249930.0,383.0,34.202967,-118.445678,"South Valley, Van Nuys",2.0,396.0,2.0,Jennifer Contreras,"Los Angeles Unified School District, CHAMPS - Charter High School of Arts-Multimedia & Performing District, Los Angeles County Office Of Education School District"
1350,https://www.realtor.com/realestateandhomes-detail/8529-Lindley-Ave_Northridge_CA_91325_M29760-23122,SINGLE_FAMILY,8529 Lindley Ave,Northridge,91325,4.0,2.0,1483.0,1954.0,47.0,725000.0,727000,2024-08-29,738271.0,False,7082.0,490.0,34.225417,-118.527684,"Northridge South, North Valley, Northridge",1.0,0.0,2.0,Larry Keller,"Valley International Preparatory High District, Los Angeles Unified School District"
